id,title,description,difficulty,xp,category,examples,tests,function_name,required_dungeon
1,Sum of Two Numbers,Return the sum of two integers.,Easy,50,Basics,"[{""input"": [2,3], ""output"": 5}]","[{""input"": [2,3], ""output"": 5}, {""input"": [10,5], ""output"": 15}]",solve,2
2,Find Maximum,Return the maximum of two numbers.,Easy,60,Basics,"[{""input"": [4,9], ""output"": 9}]","[{""input"": [4,9], ""output"": 9}, {""input"": [10,1], ""output"": 10}]",solve,2
3,Even or Odd,Return 'even' or 'odd' depending on the number.,Easy,70,Basics,"[{""input"": [4], ""output"": ""even""}]","[{""input"": [4], ""output"": ""even""}, {""input"": [7], ""output"": ""odd""}]",solve,2

4,Count Evens,Count how many even numbers are in the list.,Easy,90,ControlFlow,"[{""input"": [[1,2,3,4]], ""output"": 2}]","[{""input"": [[1,2,3,4]], ""output"": 2}, {""input"": [[2,2,2]], ""output"": 3}]",solve,3
5,Print Range Sum,Return sum of numbers from 1 to n using loops.,Easy,100,ControlFlow,"[{""input"": [5], ""output"": 15}]","[{""input"": [5], ""output"": 15}, {""input"": [3], ""output"": 6}]",solve,3
6,Find First Negative,Return index of first negative number.,Medium,120,ControlFlow,"[{""input"": [[3,5,-1,4]], ""output"": 2}]","[{""input"": [[3,5,-1,4]], ""output"": 2}, {""input"": [[1,2,3]], ""output"": -1}]",solve,3

7,Multiply Function,Return product of two numbers.,Easy,100,Functions,"[{""input"": [3,4], ""output"": 12}]","[{""input"": [3,4], ""output"": 12}, {""input"": [5,5], ""output"": 25}]",solve,4
8,Absolute Difference,Return absolute difference of two numbers.,Easy,110,Functions,"[{""input"": [5,9], ""output"": 4}]","[{""input"": [5,9], ""output"": 4}, {""input"": [10,3], ""output"": 7}]",solve,4
9,Frequency Counter,Return dict with frequency of each element.,Medium,150,Functions,"[{""input"": [[1,2,2,3]], ""output"": {""1"":1,""2"":2,""3"":1}}]","[{""input"": [[1,2,2,3]], ""output"": {""1"":1,""2"":2,""3"":1}}]",solve,4

